sale_id,product_id,category,price,quantity,sale_date
S001,P1001,Electronics,299.99,2,2024-03-10
S002,P1002,Clothing,,1,2024-03-11
S003,P1003,Furniture,ABCD,3,2024-03-12
S004,P1004,Electronics,199.99,,2024-03-13
S005,P1005,Clothing,49.99,5,2024-03-14
S006,P1006,Grocery,5.99,10,2024-03-15
S007,P1007,Beauty,20.99,2,2024-03-16
S008,P1008,Electronics,NA,1,2024-03-17
S009,P1009,Sports,79.99,4,2024-03-18
S010,P1010,Furniture,399.99,NA,2024-03-19
S011,P1011,Clothing,25.49,1,2024-03-20
S012,P1012,Footwear,59.99,3,2024-03-21
S013,P1013,Electronics,,2,2024-03-22
S014,P1014,Grocery,2.99,20,2024-03-23
S015,P1015,Beauty,15.99,1,2024-03-24
S016,P1016,Clothing,89.99,NA,2024-03-25
S017,P1017,Furniture,NA,5,2024-03-26
S018,P1018,Electronics,129.99,2,2024-03-27
S019,P1019,Sports,,,2024-03-28
S020,P1020,Footwear,49.99,1,2024-03-29
